As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance,Balance Difference,Match Status
06-09-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,56731,57198,-467,Break
06-09-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,54485,54485,0,Match
06-09-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,10036,68246,-58210,Break
06-09-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,29599,29599,0,Match
07-09-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,39078,39078,0,Match
07-09-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,50906,50906,0,Match
08-09-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,47978,47978,0,Match
09-09-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,58023,58023,0,Match
09-09-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,95862,95862,0,Match
09-09-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,16226,16226,0,Match
09-09-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,14273,22984,-8711,Break
10-09-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,40797,40797,0,Match
10-09-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,76849,76849,0,Match
11-09-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,30624,30624,0,Match
11-09-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,10881,10881,0,Match
12-09-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,23811,23811,0,Match
12-09-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,93177,93177,0,Match
13-09-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,16950,16950,0,Match
13-09-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,65430,65430,0,Match
15-09-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,80494,73950,6544,Break
15-09-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,56995,56995,0,Match
15-09-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,74247,74247,0,Match
15-09-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,50098,50098,0,Match
16-09-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,2448,2448,0,Match
17-09-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,37578,35946,1632,Break
17-09-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,8429,8429,0,Match
18-09-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,49704,49704,0,Match
18-09-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,47078,47078,0,Match
19-09-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,44995,44995,0,Match
22-09-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,74748,74748,0,Match
22-09-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,8897,12889,-3992,Break
23-09-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,77922,77922,0,Match
23-09-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,90816,90816,0,Match
23-09-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,1082,1418,-336,Break
23-09-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,29618,29618,0,Match
24-09-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,54378,54378,0,Match
26-09-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,73626,73626,0,Match
27-09-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,57551,21679,35872,Break
27-09-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,51671,51671,0,Match
28-09-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,72924,77054,-4130,Break
28-09-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,37352,37352,0,Match
28-09-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,61427,2449,58978,Break
28-09-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,88678,442,88236,Break
29-09-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,52326,52326,0,Match
29-09-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,40473,40473,0,Match
29-09-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,61119,72160,-11041,Break
29-09-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,94648,28425,66223,Break
29-09-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,54419,54419,0,Match
30-09-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,27560,12510,15050,Break
01-10-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,3969,3969,0,Match
01-10-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,813,35993,-35180,Break
01-10-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,45642,45642,0,Match
01-10-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,29412,29412,0,Match
02-10-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,30526,22558,7968,Break
04-10-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,5582,5582,0,Match
04-10-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,18533,18533,0,Match
06-10-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,47266,47266,0,Match
07-10-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,40731,40731,0,Match
07-10-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,23036,23036,0,Match
07-10-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,83345,83345,0,Match
07-10-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,52740,52740,0,Match
09-10-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,5049,5049,0,Match
09-10-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,86723,86723,0,Match
09-10-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,27948,27948,0,Match
09-10-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,32481,32481,0,Match
09-10-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,51753,51753,0,Match
10-10-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,51864,51864,0,Match
10-10-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,43273,70655,-27382,Break
11-10-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,6616,6616,0,Match
12-10-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,86907,23877,63030,Break
12-10-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,20392,20392,0,Match
12-10-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,5187,99308,-94121,Break
13-10-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,97203,63825,33378,Break
13-10-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,36516,36516,0,Match
14-10-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,46280,46280,0,Match
14-10-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,63068,63068,0,Match
14-10-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,39613,39613,0,Match
15-10-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,53495,53495,0,Match
16-10-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,43330,43330,0,Match
16-10-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,71865,71865,0,Match
20-10-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,32252,32252,0,Match
21-10-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,16975,16975,0,Match
21-10-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,39556,39556,0,Match
21-10-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,58107,58107,0,Match
22-10-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,94819,19524,75295,Break
24-10-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,44774,44774,0,Match
24-10-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,37520,65283,-27763,Break
25-10-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,1922,1922,0,Match
25-10-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,80219,80219,0,Match
26-10-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,82912,82912,0,Match
29-10-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,85558,85558,0,Match
31-10-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,52457,59391,-6934,Break
01-11-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,37081,37081,0,Match
01-11-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,2275,48224,-45949,Break
01-11-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,41190,41190,0,Match
01-11-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,92909,62660,30249,Break
01-11-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,62993,10926,52067,Break
04-11-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,83494,83494,0,Match
04-11-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,64375,25234,39141,Break
05-11-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,20066,30003,-9937,Break
05-11-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,33917,33917,0,Match
07-11-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,69224,55055,14169,Break
07-11-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,75283,75283,0,Match
09-11-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,61237,61237,0,Match
09-11-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,41946,41946,0,Match
09-11-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,88625,88625,0,Match
10-11-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,84296,84296,0,Match
10-11-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,53327,54205,-878,Break
10-11-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,18489,18489,0,Match
11-11-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,31425,13259,18166,Break
11-11-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,19056,16411,2645,Break
12-11-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,7605,7605,0,Match
12-11-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,69615,69615,0,Match
13-11-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,85036,85036,0,Match
13-11-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,13381,13381,0,Match
13-11-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,27203,27203,0,Match
14-11-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,25332,25332,0,Match
15-11-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,68669,89667,-20998,Break
15-11-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,83146,43453,39693,Break
16-11-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,88483,46515,41968,Break
17-11-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,46742,46742,0,Match
17-11-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,93024,68729,24295,Break
18-11-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,26507,26507,0,Match
19-11-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,13157,13157,0,Match
19-11-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,35092,35092,0,Match
20-11-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,89905,89905,0,Match
20-11-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,87277,87277,0,Match
20-11-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,44113,44113,0,Match
20-11-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,92209,92209,0,Match
21-11-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,93776,14469,79307,Break
21-11-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,1607,1607,0,Match
22-11-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,78965,78965,0,Match
22-11-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,36228,36228,0,Match
22-11-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,62630,67670,-5040,Break
22-11-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,53052,53052,0,Match
23-11-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,53264,53264,0,Match
23-11-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,24759,24759,0,Match
23-11-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,62793,27450,35343,Break
24-11-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,5185,5185,0,Match
24-11-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,30869,42268,-11399,Break
25-11-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,78886,78886,0,Match
25-11-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,68822,68822,0,Match
25-11-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,73417,73417,0,Match
26-11-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,65750,89579,-23829,Break
27-11-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,76012,95335,-19323,Break
27-11-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,82740,47086,35654,Break
27-11-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,6435,98009,-91574,Break
28-11-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,34399,98138,-63739,Break
29-11-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,60912,60912,0,Match
29-11-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,77324,60917,16407,Break
29-11-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,70349,70349,0,Match
29-11-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,90672,90672,0,Match
30-11-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,41121,41121,0,Match
30-11-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,51314,91141,-39827,Break
01-12-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,96616,96616,0,Match
02-12-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,21966,57159,-35193,Break
03-12-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,9981,9981,0,Match
04-12-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,30733,94426,-63693,Break
04-12-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,95326,95326,0,Match
05-12-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,77493,77493,0,Match
06-12-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,87175,72827,14348,Break
06-12-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,51252,51252,0,Match
07-12-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,6758,6758,0,Match
09-12-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,34911,34911,0,Match
09-12-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,33712,33712,0,Match
09-12-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,20559,20559,0,Match
09-12-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,79044,79044,0,Match
10-12-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,75361,92135,-16774,Break
10-12-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,77543,51903,25640,Break
11-12-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,37344,37344,0,Match
11-12-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,86745,86745,0,Match
13-12-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,16342,16342,0,Match
14-12-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,52030,13203,38827,Break
14-12-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,3650,3650,0,Match
14-12-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,71138,45056,26082,Break
14-12-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,59991,59991,0,Match
16-12-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,28657,28657,0,Match
16-12-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,43402,43402,0,Match
16-12-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,61281,61281,0,Match
17-12-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,77732,19663,58069,Break
17-12-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,15479,46011,-30532,Break
17-12-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,72022,72022,0,Match
18-12-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,74101,74101,0,Match
18-12-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,40486,40486,0,Match
18-12-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,80654,10247,70407,Break
19-12-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,3297,3297,0,Match
19-12-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,80538,80538,0,Match
19-12-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,15212,15212,0,Match
19-12-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,31538,31538,0,Match
20-12-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,90320,90320,0,Match
23-12-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,55856,55856,0,Match
23-12-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,2648,55645,-52997,Break
24-12-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,34483,91788,-57305,Break
24-12-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,60558,60558,0,Match
25-12-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,73674,96350,-22676,Break
26-12-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,28237,28237,0,Match
27-12-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,64548,64536,12,Break
29-12-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,93484,3363,90121,Break
30-12-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,34264,34264,0,Match
30-12-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,30516,30516,0,Match
30-12-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,33985,33985,0,Match
31-12-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,34844,34844,0,Match
01-01-2024,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,35581,11336,24245,Break
01-01-2024,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,72396,72396,0,Match
02-01-2024,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,52707,18089,34618,Break
04-01-2024,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,43624,43624,0,Match
04-01-2024,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,12022,12022,0,Match
04-01-2024,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,61602,61602,0,Match
04-01-2024,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,140,140,0,Match
05-01-2024,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,86796,86796,0,Match
05-01-2024,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,28063,28063,0,Match
05-01-2024,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,70553,70553,0,Match
05-01-2024,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,81980,36713,45267,Break
05-01-2024,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,41956,41956,0,Match
06-01-2024,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,35151,35151,0,Match
06-01-2024,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,57722,57722,0,Match
07-01-2024,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,46534,46534,0,Match
07-01-2024,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,8909,24823,-15914,Break
08-01-2024,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,48543,48543,0,Match
08-01-2024,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,75412,75412,0,Match
09-01-2024,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,51733,51733,0,Match
10-01-2024,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,89223,89223,0,Match
10-01-2024,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,78532,78532,0,Match
10-01-2024,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,14563,14563,0,Match
11-01-2024,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,37874,19167,18707,Break
13-01-2024,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,22263,22263,0,Match
13-01-2024,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,82746,82746,0,Match
13-01-2024,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,48137,70452,-22315,Break
13-01-2024,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,43821,23390,20431,Break
14-01-2024,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,28716,28716,0,Match
15-01-2024,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,2044,53189,-51145,Break
